"species","vlength","gear","port","mval_mean","mprice_mean","mkg_mean"
"NEP","VL2440","OTB","LA SPEZIA",876.167512912088,7.00347708091516,11735.0910866911
"NEP","VL2440","OTB","PORTO SANTO STEFANO",67.3975009932375,0.538729006224243,902.699314360853
"NEP","VL2440","OTB","PORTOFERRAIO",730.139594093407,5.83623090076263,9779.24257224257
"OCC","VL1218","OTB","CHIAVARI",0,0,712.524919908571
"OCC","VL1218","OTB","FIUMICINO",0,0,74.2213458238095
"OCC","VL1218","OTB","GENOVA",0,0,1187.54153318095
"OCC","VL1218","OTB","IMPERIA",0,0,296.885383295238
"OCC","VL1218","OTB","LIVORNO",0,0,791.694355453968
"OCC","VL1218","OTB","PIOMBINO",0,0,1187.54153318095
"OCC","VL1218","OTB","PORTO ERCOLE",0,0,475.016613272381
"OCC","VL1218","OTB","PORTO SANTO STEFANO",0,0,91.3493487062271
"OCC","VL1218","OTB","PORTOFINO",0,0,1187.54153318095
"PIL","VL2440","OTB","ANZIO",0.18259126984127,0.0768765262515262,0.158730158730159
"PIL","VL2440","OTB","CIVITAVECCHIA",0.393273504273504,0.165580210387903,0.341880341880342
"PIL","VL2440","OTB","LA SPEZIA",2.55627777777778,1.07627136752137,2.22222222222222
"PIL","VL2440","OTB","PORTO SANTO STEFANO",0.196636752136752,0.0827901051939514,0.170940170940171
"PIL","VL2440","OTB","PORTOFERRAIO",2.13023148148148,0.896892806267806,1.85185185185185
"ROL","VL1218","OTB","CHIAVARI",52.0506833333333,0.293282520168628,104.1
"ROL","VL1218","OTB","FIUMICINO",5.42194618055556,0.0305502625175654,10.84375
"ROL","VL1218","OTB","GENOVA",86.7511388888889,0.488804200281046,173.5
"ROL","VL1218","OTB","IMPERIA",21.6877847222222,0.122201050070262,43.375
"ROL","VL1218","OTB","LIVORNO",57.8340925925926,0.325869466854031,115.666666666667
"ROL","VL1218","OTB","PIOMBINO",86.7511388888889,0.488804200281046,173.5
